x,exact,equidistant,chebyshev
-0.143,-0.141521,-0.707902,-1.17119
-0.142,-0.140571,-0.708028,-1.17373
-0.141,-0.13962,-0.708136,-1.17627
-0.14,-0.138668,-0.708225,-1.17881
-0.139,-0.137715,-0.708294,-1.18134
-0.138,-0.13676,-0.708345,-1.18386
-0.137,-0.135804,-0.708376,-1.18638
-0.136,-0.134847,-0.708388,-1.18889
-0.135,-0.133888,-0.708381,-1.1914
-0.134,-0.132929,-0.708353,-1.1939
-0.133,-0.131968,-0.708305,-1.19639
-0.132,-0.131006,-0.708237,-1.19888
-0.131,-0.130043,-0.708149,-1.20136
-0.13,-0.129078,-0.708041,-1.20384
-0.129,-0.128113,-0.707911,-1.2063
-0.128,-0.127147,-0.707761,-1.20876
-0.127,-0.126179,-0.70759,-1.21122
-0.126,-0.125211,-0.707397,-1.21367
-0.125,-0.124242,-0.707183,-1.21611
-0.124,-0.123271,-0.706948,-1.21854
-0.123,-0.1223,-0.706691,-1.22097
-0.122,-0.121328,-0.706412,-1.22339
-0.121,-0.120355,-0.706111,-1.2258
-0.12,-0.119381,-0.705787,-1.22821
-0.119,-0.118406,-0.705441,-1.2306
-0.118,-0.117431,-0.705073,-1.23299
-0.117,-0.116454,-0.704682,-1.23537
-0.116,-0.115477,-0.704267,-1.23775
-0.115,-0.114499,-0.70383,-1.24011
-0.114,-0.113521,-0.703369,-1.24247
-0.113,-0.112541,-0.702884,-1.24482
-0.112,-0.111561,-0.702376,-1.24716
-0.111,-0.11058,-0.701844,-1.2495
-0.11,-0.109599,-0.701288,-1.25182
-0.109,-0.108617,-0.700707,-1.25414
-0.108,-0.107634,-0.700102,-1.25645
-0.107,-0.106651,-0.699472,-1.25874
-0.106,-0.105666,-0.698817,-1.26103
-0.105,-0.104682,-0.698138,-1.26332
-0.104,-0.103697,-0.697433,-1.26559
-0.103,-0.102711,-0.696702,-1.26785
-0.102,-0.101725,-0.695946,-1.2701
-0.101,-0.100738,-0.695164,-1.27235
-0.1,-0.0997506,-0.694356,-1.27458
-0.099,-0.0987628,-0.693522,-1.27681
-0.098,-0.0977745,-0.692661,-1.27902
-0.097,-0.0967858,-0.691773,-1.28123
-0.096,-0.0957966,-0.690859,-1.28342
-0.095,-0.0948069,-0.689917,-1.28561
-0.094,-0.0938169,-0.688949,-1.28778
-0.093,-0.0928264,-0.687953,-1.28995
-0.092,-0.0918355,-0.686929,-1.2921
-0.091,-0.0908443,-0.685877,-1.29424
-0.09,-0.0898526,-0.684797,-1.29638
-0.089,-0.0888606,-0.683689,-1.2985
-0.088,-0.0878683,-0.682552,-1.30061
-0.087,-0.0868756,-0.681387,-1.30271
-0.086,-0.0858826,-0.680193,-1.3048
-0.085,-0.0848892,-0.678969,-1.30688
-0.084,-0.0838956,-0.677716,-1.30894
-0.083,-0.0829016,-0.676434,-1.311
-0.082,-0.0819074,-0.675122,-1.31304
-0.081,-0.0809129,-0.673779,-1.31507
-0.08,-0.0799182,-0.672407,-1.31709
-0.079,-0.0789231,-0.671004,-1.3191
-0.078,-0.0779279,-0.669571,-1.32109
-0.077,-0.0769324,-0.668106,-1.32308
-0.076,-0.0759367,-0.666611,-1.32505
-0.075,-0.0749407,-0.665084,-1.32701
-0.074,-0.0739446,-0.663525,-1.32895
-0.073,-0.0729482,-0.661935,-1.33089
-0.072,-0.0719517,-0.660313,-1.33281
-0.071,-0.0709549,-0.658658,-1.33472
-0.07,-0.069958,-0.656971,-1.33661
-0.069,-0.0689609,-0.655252,-1.33849
-0.068,-0.0679637,-0.653499,-1.34036
-0.067,-0.0669663,-0.651714,-1.34221
-0.066,-0.0659687,-0.649895,-1.34405
-0.065,-0.064971,-0.648042,-1.34588
-0.064,-0.0639732,-0.646156,-1.34769
-0.063,-0.0629752,-0.644235,-1.34949
-0.062,-0.0619771,-0.64228,-1.35128
-0.061,-0.0609789,-0.640291,-1.35305
-0.06,-0.0599806,-0.638266,-1.35481
-0.059,-0.0589821,-0.636207,-1.35655
-0.058,-0.0579836,-0.634113,-1.35827
-0.057,-0.056985,-0.631983,-1.35999
-0.056,-0.0559862,-0.629817,-1.36168
-0.055,-0.0549874,-0.627615,-1.36337
-0.054,-0.0539885,-0.625377,-1.36503
-0.053,-0.0529895,-0.623103,-1.36669
-0.052,-0.0519905,-0.620791,-1.36832
-0.051,-0.0509914,-0.618443,-1.36994
-0.05,-0.0499922,-0.616058,-1.37155
-0.049,-0.0489929,-0.613635,-1.37314
-0.048,-0.0479936,-0.611174,-1.37471
-0.047,-0.0469943,-0.608675,-1.37627
-0.046,-0.0459949,-0.606139,-1.37781
-0.045,-0.0449954,-0.603563,-1.37933
-0.044,-0.0439959,-0.600949,-1.38084
-0.043,-0.0429963,-0.598296,-1.38233
-0.042,-0.0419967,-0.595604,-1.38381
-0.041,-0.0409971,-0.592872,-1.38526
-0.04,-0.0399974,-0.5901,-1.3867
-0.039,-0.0389977,-0.587289,-1.38812
-0.038,-0.037998,-0.584437,-1.38953
-0.037,-0.0369983,-0.581544,-1.39092
-0.036,-0.0359985,-0.578611,-1.39229
-0.035,-0.0349987,-0.575637,-1.39364
-0.034,-0.0339989,-0.572621,-1.39497
-0.033,-0.032999,-0.569564,-1.39629
-0.032,-0.0319992,-0.566464,-1.39758
-0.031,-0.0309993,-0.563323,-1.39886
-0.03,-0.0299994,-0.560139,-1.40012
-0.029,-0.0289995,-0.556913,-1.40136
-0.028,-0.0279996,-0.553643,-1.40259
-0.027,-0.0269996,-0.55033,-1.40379
-0.026,-0.0259997,-0.546974,-1.40497
-0.025,-0.0249998,-0.543574,-1.40614
-0.024,-0.0239998,-0.54013,-1.40728
-0.023,-0.0229998,-0.536641,-1.40841
-0.022,-0.0219999,-0.533108,-1.40951
-0.021,-0.0209999,-0.52953,-1.4106
-0.02,-0.0199999,-0.525907,-1.41166
-0.019,-0.0189999,-0.522238,-1.4127
-0.018,-0.018,-0.518524,-1.41373
-0.017,-0.017,-0.514764,-1.41473
-0.016,-0.016,-0.510957,-1.41571
-0.015,-0.015,-0.507103,-1.41667
-0.014,-0.014,-0.503203,-1.41761
-0.013,-0.013,-0.499256,-1.41853
-0.012,-0.012,-0.495261,-1.41943
